topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Rebirth Slaves,,"Rebirth Slaves are prisoners held at Rebirth by the Holy Nation, forced into hard labor and prayer to supposedly cleanse their souls and be reborn as righteous humans in service to Okran. The faction includes Sheks captured in battle, human criminals and bandits, and some Western Hivers, but never Skeletons since the Holy Nation believes they lack souls. Escaped slaves who are recaptured face brutal punishment from guards, and some may die or lose limbs if left unattended after beatings.",,,"Rebirth Slaves, Rebirth_Slaves",Factions
Red Sabre Boss,,"The Red Sabre Boss, also called 'The Red Bandit,' leads the Red Sabres gang from their hideout in the swamps. He is wanted by both the United Cities and the Shek Kingdom for arson, robbery, extortion, and preying on travelers. He wields a masterwork horse chopper and is considered skilled and dangerous.",,,"Red Sabre Boss, Red_Sabre_Boss","Bosses, Bounty, Characters, Gang Bosses, Swamps Characters, Unique, World State Related Characters"
Red Sabres,,"The Red Sabres are a bandit group that operates in The Swamp and South Wetlands, led by the Red Sabre Boss from their hideout deep in the swamp. They dress in red clothing and favor sabres as weapons. They are locked in a constant power struggle with their rivals, the Swamp Ninjas.",,,"Red Sabres, Red_Sabres",Factions
Rhinobot,,"Rhinobot is a Skeleton who served as a notable member of the Second Empire. He now resides in Ashland Dome II, accompanied by several Screamer Units. Due to lacking moral processing, he was involved in various atrocities during the Second Empire's reign, though his exact role remains unclear.",,,Rhinobot,"Characters, Unique"
Rice Bowl,,"A rice bowl is a plain staple food made from riceweed and water, commonly found in The Swamp where riceweed grows abundantly. It provides basic nutrition but requires a lot of water to produce. Many prefer to combine riceweed with greenfruit to make gohan instead, which is more efficient in rainy regions.",,,"Rice Bowl, Rice_Bowl","Items, Nutrition"
Riceweed,,Riceweed is a nutritious weed that grows in wet environments like swamps. It cannot be eaten raw and must be cooked first. Western Hive traders in Hive Villages commonly sell it.,,,Riceweed,"Farming, Items"
Ringed Sabre,,"The Ringed Sabre is a classic hard-hitting blade favored by legendary swordsmen, including Arc himself. The rings on the blade are designed to distract and annoy opponents with their noise, though they tend to make Beak Things more vicious. It is commonly wielded by bandit leaders and prominent warriors across the land.",,,"Ringed Sabre, Ringed_Sabre","Sabre, Weapons"
River Raptor,,"River Raptors are passive, round-bodied reptilian scavengers that waddle through farmlands and coastal areas eating crops and corpses. They do not hunt but will defend themselves if attacked, making them both helpful for cleaning up bodies and troublesome for farmers. They are commonly found in Okran's Pride and northern regions, where Holy Nation soldiers often cull them to protect the farms.",,,"River Raptor, River_Raptor","Animals, Characters, Raptors"
Robots,,"Robots are mechanical beings in Kenshi, mostly ancient remnants from the Old Empire and Second Empire. Most humanoid robots are Skeletons, though not all robots are humanoid. Some weapons are designed to deal extra damage to robotic beings, and robots suffer permanent wear damage from injuries that must be repaired at special beds.",,,Robots,Races
Rot,,"Rot is a village in the Swamp controlled by the Hounds faction. If the player joins the Hounds, the village becomes allied. If the Hounds' leaders all die or are imprisoned, Rot gets overrun by Blood Spiders.",,,Rot,"Article stubs, Locations"
Royal Valley,,"Royal Valley is the homeland of the Southern Hive, a region where their settlements are found. The area has a distinct seasonal climate and is bordered by Greyshelf, Cheaters Run, and the Bonefields. It is a relatively peaceful zone with no ancient ruins or wandering hostile camps.",,,"Royal Valley, Royal_Valley",Zones
Cactus Rum,,"Cactus Rum is a very strong alcohol commonly found in desert regions. It causes severe dehydration, making it a rare luxury in arid areas, but in the greenlands where water is plentiful, people drink it heavily. It is produced at rum stills and serves as a valuable trade good.",,,"Cactus Rum, Cactus_Rum",Items
Rum Still,,"A rum still is a building that turns cacti into cactus rum. Operating one helps improve cooking skills, and experienced cooks can produce rum faster. The still produces filled bottles without needing empties on hand.",,,"Rum Still, Rum_Still",Buildings
Sabina,,"Sabina was an author who wrote several books about ancient history and extinction events, including works on the Lost Ancients and Okranite theories. Sabina was likely a Machinist scholar, though their current whereabouts or fate remain unknown. Their writings are referenced by other scholars studying the world's ancient past.",,,Sabina,"Characters, Lore"
Sake,,"Sake is a strong alcohol made in the swamps from riceweed. It is popular among samurai and frequently imported by Empire towns. Though typically sold in bars, it cannot be consumed as food.",,,Sake,Items
Samurai,,"Samurai are warriors who serve the United Cities and can be of any race. They patrol the lands enforcing law and order, arresting criminals and sometimes offering protection or aid to travelers. Some Samurai work privately for the Traders Guild, guarding their headquarters in Trader's Edge.",,,Samurai,"Bodyguards, Characters, Samurai, Traders Guild, United Cities"
Sand Ninja Oni,,"Sand Ninja Oni is a Scorchlander woman who leads the Sand Ninjas from their hideout at Cactus Den in the Great Desert. She is wanted by both the United Cities and Traders Guild for aggressive bandit activity in the region. If she is killed or imprisoned, the Sand Ninjas will stop raiding settlements.",,,"Sand Ninja Oni, Sand_Ninja_Oni","Bosses, Bounty, Characters, Sand Ninjas, Unique"
Sand Ninjas,,"The Sand Ninjas are a cult of skilled bandits led by Sand Ninja Oni, operating mainly around Spine Canyon, The Great Desert, and The Eye. They are known highwaymen who prey on those passing through their territory.",,,"Sand Ninjas, Sand_Ninjas","Factions, Ninja"
Savant,,"Savant is the deranged leader of the Skin Bandits, a human Scorchlander with a large bounty from the United Cities. He believes ash from the Ashlands corrupts minds and that skeletons need human skin to protect themselves from madness. He operates from the Skinhouse HQ and only accepts skeletons into his faction, performing twisted procedures to graft skin onto them.",,,Savant,"Bosses, Bounty, Characters, Skin Bandits, Unique"
Scorchlander,,"Scorchlanders are humans with dark skin, glowing eyes, and often silvery hair. They are known for being skilled crafters and heal faster than most other people. They are found across many regions and factions throughout the world.",,,Scorchlander,Races
Scout Leg (left),,"The Scout Leg is a lightweight robotic replacement for a lost left leg, designed for impressive speed at the expense of durability. It is advanced high-tech equipment similar to what skeletons use, and can sometimes be found among ancient artifacts. These legs are known for being particularly fast and less hindered in water compared to other robotic limbs.",,,"Scout Leg (left), Scout_Leg_(left), Scout Leg left",Robot Limbs
Scout Leg (right),,The Scout Leg is a lightweight robotic leg replacement designed for speed rather than durability. It provides notable improvements to running ability and is less hindered in water compared to other robotic limbs. These advanced legs resemble the technology used by skeletons and require specialized components to craft.,,,"Scout Leg (right), Scout_Leg_(right), Scout Leg right",Robot Limbs
Screamer Unit,,Screamer Units are ancient skeletons from the long-dead Second Empire. They guard locations like Ashland Dome II and patrol the Ashlands as part of the Skeleton Legion. These warriors wear heavy samurai-style armor and carry weapons forged by ancient or skeleton smiths.,,,"Screamer Unit, Screamer_Unit",Characters
